行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
31,D2,C9,D1,C9,C20,C20,C16,D22,D1,D1,D1,D1,D1,D1,D24,C12,G17,E21,D2,E21,E21,E21,C27,C2,C2,D8,D8,D8,E21,H2,D24,E21,C18,C18,C18,C18,C18,C18,C2,C2,C26,C20,C6,C26,C12,B10,C18,C12,C16,B10,B6,B6,B6,C26,C26,C26,C26,C26,B10,B10,B6,B6,B6,B6,B10,C26,C26,C18,C20,B10,B6,C16,C12,C6,C20,C16,C3,C25,C3,C26,B10,B10,D4,D3,D2,C27,H2,D17,C2,D17,E17,C27,D17,C18,D22,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4
32,C9,D1,D2,C20,C20,C20,D22,D1,D1,D1,D1,D1,D1,D1,D1,D1,C16,G17,D22,D22,D2,E21,C25,C2,C2,D8,H2,D8,H19,D8,D8,H19,G17,C12,C16,C18,C18,C18,C18,C2,C18,B10,C25,C26,C12,C18,B10,C16,D4,B10,B6,B6,B6,B6,B6,B10,B10,B10,C26,B10,B10,B6,B10,B10,C26,B10,C26,C26,B10,B6,B10,C26,C18,C20,C6,C3,C3,C3,C3,C26,C26,B10,C26,C26,C27,C2,D17,C2,C2,C27,D17,D17,D17,C18,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
33,C9,D1,C20,C20,C20,C9,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,C12,G17,D4,D3,D24,D11,C2,C2,E17,D8,D8,H19,E21,D8,H19,H19,D8,C24,C12,C18,C18,C18,C18,C18,C18,C18,C18,C18,C12,C18,B6,C16,C16,C25,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,B10,B6,B6,B6,C20,C26,C26,C20,C3,C6,H2,C3,C3,C3,C18,C18,C24,C2,D17,D17,D17,D17,D17,D17,D17,C27,D17,C12,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D22,D22,D4
34,C9,C20,C20,C9,C20,C9,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D24,D24,G17,D8,D8,D22,D22,E21,D17,E17,E21,H19,E21,G17,G17,G17,E21,H2,H2,C27,C12,C18,C18,C18,C18,C18,C18,C18,C18,C18,C12,C26,B6,C26,C26,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,B10,B6,B6,B6,B10,C26,C3,C3,C20,C2,C3,C2,C3,C26,C26,C18,C6,C2,C27,D17,D17,D17,D17,D17,D17,D17,D17,C24,D4,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D22,D11,D22,D3
35,C20,C20,C20,C20,C26,C9,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D24,D24,G17,E17,E17,G17,G17,G17,G17,E21,E21,H19,G17,E21,G17,G17,E21,H2,H2,H2,H2,C12,C18,C18,C18,C18,C18,C18,C12,C12,C18,C12,C18,B6,B6,B6,B6,B6,B6,B6,B6,C25,C2,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,C26,B10,C3,B10,C20,B6,B10,C6,C3,C20,C26,C6,C27,E17,C27,C27,C2,D17,D17,D17,D17,D17,D17,C26,D4,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
36,C20,C20,C20,C26,C3,D22,D1,D1,D1,D1,D1,D1,D1,D24,D1,D24,D1,D2,G17,E21,E21,G17,C18,G17,G17,G17,H19,H19,G17,G17,E21,E21,H2,H2,H2,C27,H2,H2,C18,C18,C18,C18,C18,C18,C18,C12,C18,C18,C12,C12,B6,B6,B6,B6,B6,B6,B6,B6,B6,C25,C25,B6,B6,B6,B6,B6,B6,B6,B10,C26,B10,B10,B6,C26,B6,B6,C26,C6,C16,C20,D17,E17,C27,D17,D11,D11,D17,E17,D17,D17,D17,D11,C12,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D2,D2,D3,D3
37,C20,C9,C20,C3,C26,D22,D1,D1,D2,D1,D1,D1,D24,D2,D1,D24,D2,D11,C18,G17,D2,C12,G17,E21,G17,G17,H19,H19,C18,G17,G17,H19,E21,E17,H2,H2,C27,H2,H2,E21,C18,C18,C18,C18,C18,C12,C18,C18,C18,C18,C16,C18,B6,B6,B6,B6,B6,B6,B6,B6,B10,B6,B6,B6,B6,C25,H2,B10,C18,B10,B10,B6,B6,B10,B6,B6,C26,C26,C16,D11,C27,C27,D17,D11,D11,D17,C27,C27,E17,E17,D17,D2,D2,C26,D4,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
38,C20,C9,C26,C3,C3,D22,D1,D11,D2,D1,D2,D1,D1,D2,D24,D1,D11,D11,D11,D11,D11,G17,E21,G17,D22,G17,H19,D2,D1,C12,G17,H2,E21,H2,H2,H2,E17,D8,H2,H2,H2,E21,C18,C12,C18,C18,C12,C18,C18,C18,C18,C18,C16,C18,C26,B10,C26,C26,C26,B6,B6,B6,B6,B6,B6,B6,B6,C18,C26,C2,C25,B10,C25,B10,B6,B6,B10,C20,C26,H2,D17,E21,E21,E21,D11,D17,C27,D17,E17,D17,D11,D11,D17,C24,C16,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
39,C9,C9,C26,C3,C3,C20,D24,D1,D1,D1,D2,D1,D1,D1,D24,D2,D11,D11,D11,D8,G17,G17,E21,D2,D24,D24,G17,D24,D24,G17,H19,H19,C12,D2,D2,H2,H2,C12,D22,D8,D8,H2,D8,C12,C18,C18,C18,C12,C18,C18,C18,C18,C18,C18,C18,B10,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,C18,C18,B6,B6,C25,B6,B10,B10,B6,B6,B10,C20,D17,D11,G17,G17,G17,G17,G17,G17,D11,E17,E17,D17,D11,D11,D11,C24,D4,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
40,C9,C9,C3,C26,C3,C6,D24,D22,D1,D1,D1,D1,D1,D1,D1,D11,D11,D2,D11,D8,D2,C18,G17,G17,D2,D24,D24,D24,C12,H19,H19,C18,D10,C12,D10,C16,D8,C16,C12,C12,C12,C12,C12,C12,C18,C18,C18,C18,C18,C12,C18,C18,C18,C18,C18,C18,C18,B6,B6,B6,B6,B6,B6,B6,B6,C18,E17,C18,B10,B6,B6,B6,B6,B10,B6,B6,B10,C20,C26,G17,E21,C16,D3,D22,C18,G17,D11,D17,D17,D11,D11,D11,D11,D2,D3,D3,D3,D3,D3,D3,D3,D22,D22,D3,D3,D3,D3,D22
