行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
59,D24,D24,D24,D1,D1,D24,D1,D1,D1,D24,D24,D10,D22,D1,D1,D1,D2,D2,D2,D1,D2,C12,C12,C18,C26,C18,E17,E17,G17,G17,D22,D3,D3,D3,D3,E16,H2,C27,H2,H2,C2,C3,D22,C16,C18,C26,B6,C18,C18,C20,C20,C12,D10,C26,C25,C26,C25,C25,C26,C26,C26,C26,C3,C3,D24,D24,D24,D24,D24,D24,D1,D2,D1,D1,D24,D1,D1,D1
60,D24,D24,D24,D24,D24,D24,D1,D1,D2,D2,D1,D1,D1,D1,D2,D2,D2,D2,D2,D1,D22,C12,D22,C12,C18,C26,C18,H2,E21,C12,D2,D24,D22,D3,D3,G17,H2,H2,G17,C3,C3,D4,C16,C26,C26,C26,C18,C18,C12,C20,C12,C18,C18,D10,C26,C25,C26,C3,C26,C26,C26,C20,C26,C3,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D1,D1
61,D24,D24,D24,D1,D1,D1,D1,D24,D1,D1,D1,D1,D1,D2,D2,D1,D1,D2,D1,D22,C12,D22,D22,D22,C12,C18,C18,C18,H2,G17,C12,D3,C26,H2,C3,D3,G17,E21,C18,G17,E21,C16,C26,C26,C26,C26,C18,C18,C16,C16,C18,C12,C12,C12,D10,C26,C3,E17,D11,C26,C26,C26,C26,C3,D3,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D1,D1
62,D11,D1,D24,D24,D1,D1,D1,D11,D2,D1,D1,D1,D2,D2,D1,D11,D1,D1,D2,C12,C12,D22,D22,C20,C26,E21,E21,C18,G17,H2,E21,C12,D10,C2,C3,C3,D3,D10,C3,C18,E21,C26,C26,C26,C18,C18,C18,C18,C16,C16,C12,C12,C12,C12,C12,D10,D8,H2,D8,C20,C26,C26,C26,C3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D2
63,D22,D3,D24,D24,D1,D1,D1,E17,D11,D1,D1,D2,D2,D1,D11,H2,D11,D1,C12,D22,D22,D22,D22,C12,C18,C26,D11,D11,G17,C27,H2,H2,D22,D3,D3,D24,D24,D4,C3,C26,C12,C20,C16,C12,C18,C16,C16,C16,C16,C12,C16,C16,C12,C12,C12,C12,D4,H2,D11,C26,C26,C20,C3,C26,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D11,D11,D1
64,C3,C16,D4,D3,D24,D1,D1,D1,D1,D1,D2,D2,D2,D2,D2,D1,D1,C12,D22,D22,C12,D22,C12,C12,D1,C12,C18,C18,D22,C16,C16,E17,D17,D3,D24,D24,D24,D4,C3,C26,D22,C18,C16,C12,C12,D4,D3,D3,D22,C12,C12,C16,C12,C12,C12,C12,D10,D11,C26,C26,C20,C20,C3,C26,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D11,D11,D1
65,D17,C3,C26,D3,D3,D3,D11,D1,D2,D2,D2,D2,D2,D1,D1,D2,C12,C12,C12,C12,D22,C12,C12,D1,D11,D4,D10,C18,C18,C18,C16,D22,G17,D22,D24,D24,D1,D4,C3,C26,D22,D22,C16,C16,D4,D3,D3,D3,D22,C16,C12,D4,D22,D1,C12,C16,C12,C16,C26,C26,C20,C20,C3,C26,D24,D24,D1,D24,D24,D24,D24,D1,D11,D1,D11,D17,D1,C3
66,D1,D1,D11,D22,D3,D3,D10,D11,D1,D2,D11,D11,D2,D11,D22,D10,D22,D2,D2,D2,D2,D22,D1,D11,D11,D22,D10,C12,D22,D22,D22,C12,E17,D11,D2,C2,D24,D10,C26,C20,D4,D1,D1,C12,D4,D3,D3,D3,D4,C16,C16,C16,C16,C16,C16,C16,C16,D4,C26,C26,C20,C26,C25,D2,D24,D24,D1,D24,D24,D24,D1,D1,D1,D1,D11,D1,D11,C3
67,D1,D1,D24,D8,D3,D3,D3,D22,D11,D11,D11,D11,D11,D2,D10,G17,D11,D11,D2,D22,D2,D1,D2,D2,D11,D2,C12,D4,D1,D11,D2,D22,C12,C12,D10,D11,D1,D10,C20,D2,D22,C16,D22,D4,C12,D4,D3,D4,C16,C16,C16,C16,C16,C16,C16,C16,C16,D4,C26,C26,C26,C3,C3,D24,D24,D24,D24,D24,D1,D1,D1,D11,D1,D11,D1,D1,C3,C3
68,D1,D1,D1,D24,D11,C16,D3,D10,D11,D11,D11,D11,D2,C12,D22,G17,D22,D22,C12,D22,D11,D2,D2,D2,D11,D2,C12,C12,D1,D11,D11,D11,D1,D10,D10,D3,D22,D4,D22,C9,D22,C16,C16,C16,D10,D10,D3,D10,C16,C16,C16,C16,C16,C16,C16,C12,C12,C12,C26,C26,C26,C25,D2,D24,D24,D24,D24,D24,D24,D11,D2,D1,D1,D1,D1,C3,C3,C2
