row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S27,S27,S27,S27,S27,S27,S27,S27,,,,,S54,S54,,,,S54,S54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S27,S27,S27,S27,S27,S27,S27,,,,,S54,,,,,S54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S27,S27,,S27,S27,S27,,,,,S13,S13,S13,S13,S54,S54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S27,S27,,S13,S13,S13,S13,S13,S13,S13,S13,S13,S13,S13,S13,S13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S159,S159,S159,S78,S01,S01,S01,S01,S01,S01,S78,S159,S159,S13,S13,S13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S159,S13,S78,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S159,S13,S13,S13,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S159,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S78,S159,S13,S13,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S159,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S54,S78,S159,S13,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S13,S13,S78,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S54,S78,S01,S159,S13,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,S13,S13,S13,S13,,,,,,,,,,S13,S13,S78,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S78,S54,S01,S78,S54,S54,S159,S13,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,S13,S159,S78,S13,,,,,,,,,S13,S13,S78,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S78,S78,S01,S01,S01,S01,S01,S01,S159,S13,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,S13,S78,S01,S159,S13,,,,,,,S13,S13,S78,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S54,S78,S78,S01,S01,S01,S01,S01,S01,S01,S01,S13,S13,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,S13,S159,S01,S78,S13,,,,,,,S13,S159,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S78,S54,S01,S01,S01,S01,S01,S01,S01,S01,S01,S159,S13,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,S13,S13,S01,S01,S13,,,,,,S13,S13,S01,S01,S01,S01,S01,S01,S01,S01,S78,S13,S78,S01,S01,S01,S01,S01,S01,S01,S01,S01,S01,S78,S78,S01,S01,S01,S01,S01,S01,S01,S78,S54,S78,S159,S13,,,,,,,,,,,,,,,,,,,
